id,name,surface,address,city,cp,c_autonoma,country,lat,lng,tarifa,contr_tarifa,tarifa_p1,tarifa_p2,tarifa_p3,tarifa_p4,tarifa_p5,tarifa_p6,contractada_p1,contractada_p2,contractada_p3,contractada_p4,contractada_p5,contractada_p6,tarifa_c_p1,tarifa_c_p2,tarifa_c_p3,tarifa_c_p4,tarifa_c_p5,tarifa_c_p6,pot_arranque,pot_parada,dload_weeks,gestion,alg_verificant2,alg_verificant3,horas_gmt,presupuesto_kwh,pci_gas,tarifa_gas,tarifa_gas_var,tarifa_gasoleo,tarifa_agua,local_maq1,local_maq2,local_maq3,local_maq4,local_maq5,fin_cal,modo_pem,n_tubos
96,H10 Marina,235,"Av. Bogatell, 64",Barcelona,08005,Cataluña,España,41.392960,2.192790,0.075,60,0.104340,0.090810,0.078610,0.070760,0.069320,0.056040,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.00,16.00,5,0,0,0,-1,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
123,Enfriadoras Trane Q,9305,"C/ Arnús i Garí, 3",Barcelona,08034,Cataluña,España,41.393578,2.105593,0.122,60,0.096029,0.084434,0.074572,0.065668,0.060797,0.050191,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,35.00,0.00,3,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
166,0002 - C&A Valencia,2599,C.C. Nuevo Centro,Valencia,46009,Comunidad Valenciana,España,39.481025,-0.390009,0.130,30,0.102669,0.084178,0.057262,0.000000,0.000000,0.000000,180,180,180,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.00,2.00,13,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
195,H10 Costa Adeje,467,"La Caleta, Playa la Enramada, s/n",Caleta Adeje. Adeje,38670,Islas Canarias,España,28.097045,-16.749483,0.075,60,0.112900,0.099900,0.088000,0.078600,0.075900,0.064900,660,660,660,660,660,800,0.11270,0.05640,0.04130,0.04130,0.04130,0.01880,100.00,60.00,13,1,0,0,-1,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
251,Enfriadora Z. Comunes,485,"Av. Rafael Puig, 36",Playa de las Americas,38660,Islas Canarias,España,28.057164,-16.734709,0.075,60,0.112900,0.009990,0.088800,0.078600,0.075900,0.064900,840,840,840,840,840,840,0.11270,0.05640,0.04130,0.04130,0.04130,0.01880,40.00,10.00,6,1,0,0,-1,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
274,0159 - C&A Mallorca,1500,C.C. Fan Shopping,Palma de Mallorca,07007,Islas Baleares,España,39.554016,2.707258,0.130,30,0.102669,0.084178,0.057262,0.000000,0.000000,0.000000,155,155,155,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.00,9.00,13,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
294,City 47,80,C/ Nicaragua 47,Barcelona,08029,Cataluña,España,41.383125,2.141058,0.118,30,0.118000,0.118000,0.118000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.00,1.00,3,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
304,Casino Puerto Vallarta,1825,"Avda Francisco Medina Ascencio, 2920",Puerto Vallarta,48290,0,México,20.654572,-105.239747,1.650,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.00,1.00,6,1,0,0,-7,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
323,H10 Taburiente,293,Breña Baja,38712,Santa Cruz de Tenerife,Islas Canarias,España,28.649306,-17.758092,0.110,60,0.112900,0.099000,0.088000,0.078600,0.075900,0.064900,350,350,350,350,350,500,0.11270,0.05640,0.04130,0.04130,0.04130,0.01880,19.50,16.00,4,1,20813,20814,-1,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
334,1076 - Decathlon Ceuta,1724,"Avda. Muelle Cañonero Dato, 25",Ceuta,51001,Ceuta,España,35.893764,-5.323516,0.138,30,0.108335,0.097345,0.076194,0.000000,0.000000,0.000000,80,80,80,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.00,15.00,3,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
397,0078 - C&A Nueva Condomina,1513,C. C. Nueva Condomina,Churra (Murcia),30110,Murcia,España,38.038607,-1.149139,0.130,30,0.102669,0.084178,0.057262,0.000000,0.000000,0.000000,125,125,200,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.00,2.00,4,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
401,0123 - C&A Plaza Mayor,1468,C.C. Plaza Mayor,Málaga,29140,Andalucia,España,36.656828,-4.478867,0.130,30,0.102669,0.102669,0.057262,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.00,2.00,6,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
429,0050 - C&A Algeciras,1146,"Calle Marismas Palmone, s/n,",Algeciras,11379,Andalucia,España,36.188239,-5.433066,0.130,30,0.102669,0.084178,0.057262,0.000000,0.000000,0.000000,130,130,175,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.00,8.00,7,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
439,Edificio H - SCADA,1200,Av. Pearson 21,Barcelona,08034,Cataluña,España,41.394040,2.108673,0.210,31,0.150000,0.150000,0.150000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00,1.00,7,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
451,Hotel Alfonso V,1,Av. Padre Isla 1,Leon,24002,Castilla León,España,42.598502,-5.572351,0.110,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.00,12.00,3,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
455,1391 - Decathlon Ávila,5153,"Av. Juan Carlos I, s/n",Ávila,05004,Castilla León,España,40.665361,-4.662774,0.149,30,0.108335,0.097345,0.076194,0.000000,0.000000,0.000000,98,98,65,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.00,10.00,4,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
610,Viena - Oficinas Centrales,1,"Carrer de Vinyals, 61",Terrassa,08221,,España,41.558384,2.008633,0.100,31,0.113942,0.098911,0.076869,0.000000,0.000000,0.000000,220,210,190,0,0,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.00,5.00,9,1,0,0,0,0,0.00,0.00000,0.00000,0.00000,0.00,0,0,0,0,0,0,0,0
